Number	Token	Language	Named Entity	POS	Universal Dependency	Sentence
2867	vuelvo	Spn	O	VERB	VERB	s104
2868	un	Spn	O	DET	DET	s104
2869	poco	Spn	O	NOUN	NOUN	s104
2870	stir	Eng	O	NOUN	NOUN	s104
2871	crazy	Eng	O	NOUN	NOUN	s104
2872	.	Eng	O	.	PUNCT	s104
2873	Pero	Spn	O	ADP	ADP	s105
2874	even	Eng	O	ADV	ADV	s105
2875	a	Eng	O	DET	DET	s105
2876	big	Eng	O	ADJ	ADJ	s105
2877	river	Eng	O	NOUN	NOUN	s105
2878	is	Eng	O	VERB	VERB	s105
2879	just	Eng	O/ORG	ADV	ADV	s105
2880	not	Eng	O/ORG	ADV	ADV	s105
2881	the	Eng	O/ORG	DET	DET	s105
2882	same	Eng	O/ORG	NOUN	PROPN	s105
2883	as	Eng	O/ORG	ADP	ADP	s105
2884	this	Eng	O/ORG	DET	DET	s105
2885	shoosh	Eng	O/ORG	X	X	s105
2886	.	Eng	O	.	PUNCT	s105
2887	.	Eng	O	.	PUNCT	s105
2888	.	Eng	O	.	PUNCT	s105
2889	shooshof	Eng	O	X	X	s105
2890	my	Eng	O	DET	DET	s105
2891	Pacific	Eng	LOCATION/PERS	NOUN	PROPN	s105
2892	and	Eng	O	CONJ	CCONJ	s105
2893	that	Eng	O	DET	DET	s105
2894	marine	Eng	O	ADJ	ADJ	s105
2895	damp	Eng	O	NOUN	NOUN	s105
2896	y	Spn	O	CONJ	CCONJ	s105
2897	mis	Spn	O	DET	DET	s105
2898	cabeshos	Spn	O	NOUN	NOUN	s105
2899	rizados	Spn	O	ADJ	ADJ	s105
2900	and	Eng	O	CONJ	CCONJ	s105
2901	my	Eng	O	DET	DET	s105
2902	butt	Eng	O	ADJ	ADJ	s105
2903	muscles	Eng	O	NOUN	NOUN	s105
2904	pulsing	Eng	O	VERB	VERB	s105
2905	,	Eng	O	.	PUNCT	s105
2906	stinging	Eng	O	VERB	VERB	s105
2907	on	Eng	O	ADP	ADP	s105
2908	this	Eng	O	DET	DET	s105
2909	fast	Eng	O	ADJ	ADJ	s105
2910	,	Eng	O	.	PUNCT	s105
2911	long-legged	Eng	O	ADJ	ADJ	s105
2912	Venice	Spn	LOCATION/ORG	ADJ	ADJ	s105
2913	night	Eng	O/ORG	ADJ	ADJ	s105
2914	walk	Eng	O/ORG	NOUN	PROPN	s105
2915	del	Spn	O	ADP	ADP	s105
2916	auto	Spn	O	NOUN	NOUN	s105
2917	a	Spn	O	ADP	ADP	s105
2918	la	Spn	O	DET	DET	s105
2919	casa	Spn	O	NOUN	NOUN	s105
2920	de	Spn	O	ADP	ADP	s105
2921	mi	Spn	O	DET	DET	s105
2922	entrañable	Spn	O	ADJ	ADJ	s105
2923	amiga	Spn	O	NOUN	NOUN	s105
2924	Paquita	Spn	O/PERS	NOUN	PROPN	s105
2925	,	Spn	O	.	PUNCT	s105
2926	to	Eng	O	ADP	ADP	s105
2927	the	Eng	O	DET	DET	s105
2928	(	Eng	O	.	PUNCT	s105
2929	non-sleeping	Eng	O/ORG	ADJ	ADJ	s105
2930	)	Eng	O	.	PUNCT	s105
2931	teen	Eng	O/ORG	ADJ	ADJ	s105
2932	slumber	Eng	O/ORG	ADJ	ADJ	s105
2933	party	Eng	O/ORG	NOUN	PROPN	s105
2934	and	Eng	O/ORG	CONJ	CCONJ	s105
2935	later	Eng	O/ORG	ADV	ADV	s105
2936	,	Eng	O	.	PUNCT	s105
2937	one	Eng	O	NUM	NUM	s105
2938	of	Eng	O	ADP	ADP	s105
2939	Paq’s	Spn	O	NOUN	NOUN	s105
2940	paperback	Eng	O	ADJ	ADJ	s105
2941	murder	Eng	O	ADJ	ADJ	s105
2942	mystery	Eng	O	ADJ	ADJ	s105
2943	novels	Eng	O	NOUN	NOUN	s105
2944	,	Eng	O	.	PUNCT	s105
2945	just	Eng	O	ADV	ADV	s105
2946	to	Eng	O	PRT	PART	s105
2947	lull	Eng	O	VERB	VERB	s105
2948	myself	Eng	O	PRON	PRON	s105
2949	into	Eng	O	ADP	ADP	s105
2950	a	Eng	O	DET	DET	s105
2951	dulled	Eng	O	ADJ	ADJ	s105
2952	,	Eng	O	.	PUNCT	s105
2953	lonely	Eng	O	ADJ	ADJ	s105
2954	sleep	Eng	O	NOUN	NOUN	s105
2955	.	Eng	O	.	PUNCT	s105
2956	I’m	Eng	O	PRON	PRON	s106
2957	back	Eng	O	ADV	ADV	s106
2958	.	Eng	O	.	PUNCT	s106
2959	Here	Eng	O/PERS	ADV	ADV	s107
2960	.	Eng	O	.	PUNCT	s107
2961	Home	Eng	O/PERS	NOUN	PROPN	s107
2962	.	Eng	O	.	PUNCT	s107
2963	Without	Eng	O/ORG	ADP	ADP	s108
2964	you	Eng	O	PRON	PRON	s108
2965	all	Eng	O	PRON	PRON	s108
2966	.	Eng	O	.	PUNCT	s108
2967	Poetas	Spn	O	NOUN	NOUN	s109
2968	.	Spn	O	.	PUNCT	s109
2969	Amigas	Spn	O	NOUN	NOUN	s110
2970	.	Spn	O	.	PUNCT	s110
2971	Poetas/amigas	Spn	O	NOUN	NOUN	s111
2972	.	Spn	O	.	PUNCT	s111
2973	What’s	Eng	O	DET	DET	s112
2974	the	Eng	O	DET	DET	s112
2975	difference	Eng	O	NOUN	NOUN	s112
2976	?	Eng	O	.	PUNCT	s112
2977	Ay	Spn	O	PRT	PART	s113
2978	,	Spn	O	.	PUNCT	s113
2979	where	Eng	O	DET	DET	s113
2980	am	Eng	O	VERB	VERB	s113
2981	I	Eng	O/OTROS	PRON	PRON	s113
2982	?	Eng	O	.	PUNCT	s113
2983	II	Eng	O/PERS	X	X	s114
2984	Flora	Spn	LOCATION/PERS	NOUN	PROPN	s114
2985	y	Spn	O	CONJ	CCONJ	s114
2986	Fauna	Spn	ORGANIZATION/ORG	NOUN	PROPN	s114
2987	Crónica	Spn	ORGANIZATION/ORG	ADJ	ADJ	s114
2988	12	Num	O	NUM	NUM	s114
2989	junio	Spn	O	NOUN	NOUN	s114
2990	2003	Num	O	NUM	NUM	s114
2991	Los	Spn	LOCATION/O	NOUN	NOUN	s114
2992	Angeles	Spn	LOCATION/LUG	NOUN	PROPN	s114
2993	Para	Spn	LOCATION/LUG	ADP	ADP	s114
2994	Pierre	Spn	LOCATION/LUG	NOUN	PROPN	s114
2995	Cuando	Spn	LOCATION/O	ADV	ADV	s115
2996	me	Spn	O	PRON	PRON	s115
2997	fui	Spn	O	VERB	VERB	s115
2998	para	Spn	O	ADP	ADP	s115
2999	South	Eng	O/PERS	NOUN	PROPN	s115
3000	Africa	Spn	LOCATION/PERS	NOUN	PROPN	s115
3001	,	Spn	O	.	PUNCT	s115
3002	and	Eng	O	CONJ	CCONJ	s115
3003	I	Eng	O/ORG	PRON	PRON	s115
3004	lived	Eng	O/ORG	VERB	VERB	s115
3005	my	Eng	O/ORG	DET	DET	s115
3006	first	Eng	O/ORG	ADJ	ADJ	s115
3007	spring	Eng	O/ORG	NOUN	PROPN	s115
3008	in	Eng	O	ADP	ADP	s115
3009	Pretoria	Spn	LOCATION/LUG	NOUN	PROPN	s115
3010	,	Spn	O	.	PUNCT	s115
3011	allí	Spn	O	ADV	ADV	s115
3012	por	Spn	O	ADP	ADP	s115
3013	octubre	Spn	O	NOUN	NOUN	s115
3014	,	Spn	O	.	PUNCT	s115
3015	viví	Spn	O	VERB	VERB	s115
3016	como	Spn	O	ADP	ADP	s115
3017	insólito	Spn	O	ADJ	ADJ	s115
3018	regalo	Spn	O	NOUN	NOUN	s115
3019	el	Spn	O	DET	DET	s115
3020	florecimiento	Spn	O	NOUN	NOUN	s115
3021	de	Spn	O	ADP	ADP	s115
3022	los	Spn	O	DET	DET	s115
3023	jacarandaes	Spn	O	NOUN	NOUN	s115
3024	.	Spn	O	.	PUNCT	s115
3025	Como	Spn	O	ADP	ADP	s116
3026	northern	Eng	O	ADJ	ADJ	s116
3027	Califas	Spn	O/ORG	ADJ	ADJ	s116
3028	girl	Eng	O/ORG	NOUN	PROPN	s116
3029	,	Eng	O	.	PUNCT	s116
3030	of	Eng	O	ADP	ADP	s116
3031	course	Eng	O	NOUN	NOUN	s116
3032	,	Eng	O	.	PUNCT	s116
3033	había	Spn	O	VERB	AUX	s116
3034	visto	Spn	O	VERB	VERB	s116
3035	mucho	Spn	O	ADJ	ADJ	s116
3036	nature	Eng	O	NOUN	NOUN	s116
3037	espectacular	Spn	O	ADJ	ADJ	s116
3038	:	Spn	O	.	PUNCT	s116
3039	the	Eng	O	DET	DET	s116
3040	Pacific	Eng	LOCATION/PERS	NOUN	PROPN	s116
3041	Ocean	Eng	LOCATION/PERS	NOUN	PROPN	s116
3042	como	Spn	O	ADP	ADP	s116
3043	yarda	Spn	O	NOUN	NOUN	s116
3044	de	Spn	O	ADP	ADP	s116
3045	enfrente	Spn	O	ADJ	ADJ	s116
3046	,	Spn	O	.	PUNCT	s116
3047	for	Eng	O	ADP	ADP	s116
3048	starters	Eng	O	NOUN	NOUN	s116
3049	,	Eng	O	.	PUNCT	s116
3050	y	Spn	O	CONJ	CCONJ	s116
3051	los	Spn	O	DET	DET	s116
3052	sequoia	Spn	O	NOUN	NOUN	s116
3053	giant	Eng	O	ADJ	ADJ	s116
3054	redwoods	Eng	O	NOUN	NOUN	s116
3055	.	Eng	O	.	PUNCT	s116
3056	Yes	Eng	O/PERS	ADV	ADV	s117
3057	,	Eng	O	.	PUNCT	s117
3058	especially	Eng	O	ADV	ADV	s117
3059	los	Spn	O	DET	DET	s117
3060	redwoods	Eng	O	NOUN	NOUN	s117
3061	.	Eng	O	.	PUNCT	s117
3062	Pero	Spn	O	ADP	ADP	s118
3063	también	Spn	O	ADV	ADV	s118
3064	esa	Spn	O	DET	DET	s118
3065	enredadera	Spn	O	NOUN	NOUN	s118
3066	,	Spn	O	.	PUNCT	s118
3067	don’t	Eng	O/ORG	VERB	AUX	s118
3068	know	Eng	O/ORG	VERB	VERB	s118
3069	its	Eng	O/ORG	DET	DET	s118
3070	name	Eng	O/ORG	NOUN	PROPN	s118
3071	,	Eng	O	.	PUNCT	s118
3072	the	Eng	O	DET	DET	s118
3073	one	Eng	O	NUM	NUM	s118
3074	with	Eng	O	ADP	ADP	s118
3075	the	Eng	O	DET	DET	s118
3076	huge	Eng	O	ADJ	ADJ	s118
3077	,	Eng	O	.	PUNCT	s118
3078	velvety	Eng	O	ADJ	ADJ	s118
3079	deep	Eng	O	ADJ	ADJ	s118
3080	purple	Eng	O	ADJ	ADJ	s118
3081	blossoms	Eng	O	NOUN	NOUN	s118
3082	y	Spn	O	CONJ	CCONJ	s118
3083	las	Spn	O	DET	DET	s118
3084	fragile	Eng	O	ADJ	ADJ	s118
3085	,	Eng	O	.	PUNCT	s118
3086	hairy	Eng	O	ADJ	ADJ	s118
3087	leaves	Eng	O	NOUN	NOUN	s118
3088	and	Eng	O	CONJ	CCONJ	s118
3089	stems	Eng	O	NOUN	NOUN	s118
3090	como	Spn	O	ADP	ADP	s118
3091	patas	Spn	O	NOUN	NOUN	s118
3092	de	Spn	O	ADP	ADP	s118
3093	tarántula	Spn	O	NOUN	NOUN	s118
3094	.	Spn	O	.	PUNCT	s118
3095	The	Eng	O	DET	DET	s119
3096	yellow	Eng	O	ADJ	ADJ	s119
3097	,	Eng	O	.	PUNCT	s119
3098	puffy	Eng	O	ADJ	ADJ	s119
3099	,	Eng	O	.	PUNCT	s119
3100	dust-scented	Eng	O	ADJ	ADJ	s119
3101	mimosa	Spn	O	NOUN	NOUN	s119
3102	on	Eng	O	ADP	ADP	s119
3103	early	Eng	O	ADJ	ADJ	s119
3104	spring	Eng	O	ADJ	ADJ	s119
3105	mornings	Eng	O	NOUN	NOUN	s119
3106	,	Eng	O	.	PUNCT	s119
3107	camino	Spn	O	VERB	VERB	s119
3108	a	Spn	O	ADP	ADP	s119
3109	la	Spn	O	DET	DET	s119
3110	secundaria	Spn	O	NOUN	NOUN	s119
3111	.	Spn	O	.	PUNCT	s119
3112	And	Eng	O	CONJ	CCONJ	s120
3113	eucalyptus	Eng	O	NOUN	NOUN	s120
3114	:	Eng	O	.	PUNCT	s120
3115	medicinal	Spn	O	ADJ	ADJ	s120
3116	and	Eng	O	CONJ	CCONJ	s120
3117	faintly	Eng	O	ADV	ADV	s120
3118	erotic	Eng	O	ADJ	ADJ	s120
3119	a	Eng	O	ADP	ADP	s120
3120	la	Spn	O	DET	DET	s120
3121	vez	Spn	O	NOUN	NOUN	s120
3122	.	Spn	O	.	PUNCT	s120
3123	Porque	Spn	O	ADP	ADP	s121
3124	el	Spn	O	DET	DET	s121
3125	olor	Spn	O	NOUN	NOUN	s121
3126	a	Spn	O	ADP	ADP	s121
3127	eucalipto	Spn	O	NOUN	NOUN	s121
3128	me	Spn	O	PRON	PRON	s121
3129	vuelve	Spn	O	VERB	VERB	s121
3130	,	Spn	O	.	PUNCT	s121
3131	inevitablemente	Spn	O	ADV	ADV	s121
3132	,	Spn	O	.	PUNCT	s121
3133	a	Spn	O	ADP	ADP	s121
3134	los	Spn	O	DET	DET	s121
3135	wild	Eng	O	ADJ	ADJ	s121
3136	summer	Eng	O	ADJ	ADJ	s121
3137	rides	Eng	O	NOUN	NOUN	s121
3138	en	Spn	O	ADP	ADP	s121
3139	la	Spn	O	DET	DET	s121
3140	moto	Spn	O	NOUN	NOUN	s121
3141	del	Spn	O	ADP	ADP	s121
3142	moterodel	Spn	O	X	X	s121
3143	barrio	Spn	O	NOUN	NOUN	s121
3144	,	Spn	O	.	PUNCT	s121
3145	Bob	Eng	PERSON/PERS	NOUN	PROPN	s121
3146	Salter	Eng	PERSON/PERS	NOUN	PROPN	s121
3147	,	Eng	O	.	PUNCT	s121
3148	the	Eng	O	DET	DET	s121
3149	summer	Eng	O	NOUN	NOUN	s121
3150	after	Eng	O	ADP	ADP	s121
3151	we	Eng	O	PRON	PRON	s121
3152	returned	Eng	O	VERB	VERB	s121
3153	from	Eng	O	ADP	ADP	s121
3154	our	Eng	O	DET	DET	s121
3155	calvario	Spn	O	NOUN	NOUN	s121
3156	—	Spn	O	.	PUNCT	s121
3157	o	Spn	O	CONJ	CCONJ	s121
3158	months	Eng	O	NOUN	NOUN	s121
3159	viviendo	Spn	O	VERB	VERB	s121
3160	en	Spn	O	ADP	ADP	s121
3161	España	Spn	O/LUG	NOUN	PROPN	s121
3162	—	Spn	O	.	PUNCT	s121
3163	a	Eng	O	ADP	ADP	s121
3164	I	Eng	O/ORG	PRON	PRON	s121
3165	began	Eng	O/ORG	VERB	VERB	s121
3166	to	Eng	O/ORG	PRT	PART	s121
3167	get	Eng	O/ORG	VERB	VERB	s121
3168	a	Eng	O	DET	DET	s121
3169	little	Eng	O	ADJ	ADJ	s121
3170	bit	Eng	O	ADJ	ADJ	s121
3171	popular	Eng	O	NOUN	NOUN	s121
3172	con	Spn	O	ADP	ADP	s121
3173	eso	Spn	O	PRON	PRON	s121
3174	de	Spn	O	ADP	ADP	s121
3175	haber	Spn	O	VERB	AUX	s121
3176	estado	Spn	O	VERB	VERB	s121
3177	living	Eng	O	VERB	VERB	s121
3178	in	Eng	O	ADP	ADP	s121
3179	Europe	Eng	LOCATION/ORG	NOUN	PROPN	s121
3180	y	Spn	O	CONJ	CCONJ	s121
3181	todo.	Spn	O/ORG	NOUN	PROPN	s121
3182	Anyway	Eng	O/ORG	ADV	ADV	s122
3183	,	Eng	O	.	PUNCT	s122
3184	that	Eng	O/ORG	DET	DET	s122
3185	summer	Eng	O/ORG	NOUN	PROPN	s122
3186	I	Eng	O/ORG	NOUN	PROPN	s122
3187	would	Eng	O/ORG	VERB	AUX	s122
3188	cling	Eng	O/ORG	VERB	VERB	s122
3189	cual	Spn	O	ADV	ADV	s122
3190	ventosa	Spn	O	NOUN	NOUN	s122
3191	,	Spn	O	.	PUNCT	s122
3192	aterrada	Spn	O	ADJ	ADJ	s122
3193	,	Spn	O	.	PUNCT	s122
3194	to	Eng	O	ADP	ADP	s122
3195	Bob’s	Eng	O/ORG	NOUN	PROPN	s122
3196	sweat-dampened	Eng	O/ORG	ADJ	ADJ	s122
3197	,	Eng	O	.	PUNCT	s122
3198	skintight	Eng	O	ADJ	ADJ	s122
3199	T-shirted	Eng	O	NOUN	NOUN	s122
3200	,	Eng	O	.	PUNCT	s122
3201	bronze	Eng	O	ADJ	ADJ	s122
3202	surfer-boy	Eng	O	ADJ	ADJ	s122
3203	espalda	Spn	O	NOUN	NOUN	s122
3204	(	Spn	O	.	PUNCT	s122
3205	maravillada	Spn	O	ADJ	ADJ	s122
3206	de	Spn	O	ADP	ADP	s122
3207	que	Spn	O	CONJ	SCONJ	s122
3208	un	Spn	O	DET	DET	s122
3209	chico	Spn	O	NOUN	NOUN	s122
3210	tan	Spn	O	ADV	ADV	s122
3211	laid	Eng	O	ADJ	ADJ	s122
3212	back	Eng	O	ADJ	ADJ	s122
3213	,	Eng	O	.	PUNCT	s122
3214	tan	Spn	O	ADV	ADV	s122
3215	marijuanero	Spn	O	ADJ	ADJ	s122
3216	y	Spn	O	CONJ	CCONJ	s122
3217	cool	Eng	O	ADJ	ADJ	s122
3218	,	Eng	O	.	PUNCT	s122
3219	would	Eng	O	VERB	AUX	s122
3220	even	Eng	O	ADV	ADV	s122
3221	invite	Eng	O	VERB	VERB	s122
3222	me	Eng	O	PRON	PRON	s122
3223	to	Eng	O	PRT	PART	s122
3224	ride	Eng	O	VERB	VERB	s122
3225	with	Eng	O	ADP	ADP	s122
3226	him	Eng	O	PRON	PRON	s122
3227	)	Eng	O	.	PUNCT	s122
3228	as	Eng	O	ADP	ADP	s122
3229	he	Eng	O	PRON	PRON	s122
3230	took	Eng	O	VERB	VERB	s122
3231	those	Eng	O	DET	DET	s122
3232	Eastside	Eng	O/ORG	ADJ	ADJ	s122
3233	Santa	Spn	LOCATION/ORG	ADJ	ADJ	s122
3234	Cruz	Spn	LOCATION/ORG	ADJ	ADJ	s122
3235	curves	Spn	O	NOUN	NOUN	s122
3236	fast	Eng	O	ADV	ADV	s122
3237	,	Eng	O	.	PUNCT	s122
3238	waaay	Eng	O	ADV	ADV	s122
3239	too	Eng	O	ADV	ADV	s122
3240	fast	Eng	O	ADJ	ADJ	s122
3241	,	Eng	O	.	PUNCT	s122
3242	crunching	Eng	O	VERB	VERB	s122
3243	and	Eng	O	CONJ	CCONJ	s122
3244	scattering	Eng	O	VERB	VERB	s122
3245	los	Spn	O	DET	DET	s122
3246	eucalyptus	Eng	O	ADJ	ADJ	s122
3247	buttons	Eng	O	NOUN	NOUN	s122
3248	mientras	Spn	O	ADP	ADP	s122
3249	nos	Spn	O	PRON	PRON	s122
3250	adentrábamos	Spn	O	VERB	VERB	s122
3251	a	Spn	O	ADP	ADP	s122
3252	ese	Spn	O	DET	DET	s122
3253	wild	Eng	O	ADJ	ADJ	s122
3254	forest	Eng	O	NOUN	NOUN	s122
3255	,	Eng	O	.	PUNCT	s122
3256	De	Spn	LOCATION/O	NOUN	NOUN	s122
3257	la	Spn	LOCATION/O	PRT	PART	s122
3258	Veaga	Spn	LOCATION/ORG	NOUN	PROPN	s122
3259	Park	Eng	LOCATION/ORG	NOUN	PROPN	s122
3260	(	Eng	O	.	PUNCT	s122
3261	te	Spn	O	PRON	PRON	s122
3262	juro	Spn	O	VERB	VERB	s122
3263	,	Spn	O	.	PUNCT	s122
3264	that’s	Eng	O	DET	DET	s122
3265	how	Eng	O	ADV	ADV	s122
3266	it’s	Eng	O	PRON	PRON	s122
3267	spelled	Eng	O	VERB	VERB	s122
3268	!	Eng	O	.	PUNCT	s122
3269	)	Eng	O	.	PUNCT	s122
3270	,	Eng	O	.	PUNCT	s122
3271	just	Eng	O	ADJ	ADJ	s122
3272	three	Eng	O	NUM	NUM	s122
3273	long	Eng	O	ADJ	ADJ	s122
3274	,	Eng	O	.	PUNCT	s122
3275	winding	Eng	O	ADJ	ADJ	s122
3276	,	Eng	O	.	PUNCT	s122
3277	uphill	Eng	O	ADJ	ADJ	s122
3278	blocks	Eng	O	NOUN	NOUN	s122
3279	de	Spn	O	ADP	ADP	s122
3280	mi	Spn	O	DET	DET	s122
3281	casa	Spn	O	NOUN	NOUN	s122
3282	.	Spn	O	.	PUNCT	s122
3283	Anyway	Eng	O/ORG	ADV	ADV	s123
3284	,	Eng	O	.	PUNCT	s123
3285	no	Spn	O	ADV	ADV	s123
3286	me	Spn	O	PRON	PRON	s123
3287	acuerdo	Spn	O	VERB	VERB	s123
3288	haber	Spn	O	VERB	AUX	s123
3289	visto	Spn	O	VERB	VERB	s123
3290	,	Spn	O	.	PUNCT	s123
3291	antes	Spn	O	ADV	ADV	s123
3292	de	Spn	O	ADP	ADP	s123
3293	Sudáfrica	Spn	O/LUG	NOUN	PROPN	s123
3294	,	Spn	O	.	PUNCT	s123
3295	un	Spn	O	DET	DET	s123
3296	jacarandá	Spn	O	NOUN	NOUN	s123
3297	.	Spn	O	.	PUNCT	s123
3298	Sultry	Eng	O/PERS	ADJ	ADJ	s124
3299	yet	Eng	O	ADV	ADV	s124
3300	somehow	Eng	O	ADV	ADV	s124
3301	insouciant	Eng	O	ADJ	ADJ	s124
3302	too	Eng	O	ADV	ADV	s124
3303	,	Eng	O	.	PUNCT	s124
3304	durante	Spn	O	ADP	ADP	s124
3305	el	Spn	O	DET	DET	s124
3306	resto	Spn	O	NOUN	NOUN	s124
3307	del	Spn	O	ADP	ADP	s124
3308	año	Spn	O	NOUN	NOUN	s124
3309	,	Spn	O	.	PUNCT	s124
3310	con	Spn	O	ADP	ADP	s124
3311	esas	Spn	O	DET	DET	s124
3312	dark	Eng	O	ADJ	ADJ	s124
3313	green	Eng	O	ADJ	ADJ	s124
3314	,	Eng	O	.	PUNCT	s124
3315	frilly	Eng	O	ADJ	ADJ	s124
3316	leaves	Eng	O	NOUN	NOUN	s124
3317	—	Eng	O	.	PUNCT	s124
3318	s	Eng	O	VERB	VERB	s124
3319	como	Spn	O	ADP	ADP	s124
3320	una	Spn	O	DET	DET	s124
3321	de	Spn	O	ADP	ADP	s124
3322	esas	Spn	O	DET	DET	s124
3323	sensitive	Eng	O	ADJ	ADJ	s124
3324	plants	Eng	O	NOUN	NOUN	s124
3325	,	Eng	O	.	PUNCT	s124
3326	you	Eng	O	PRON	PRON	s124
3327	know	Eng	O	VERB	VERB	s124
3328	,	Eng	O	.	PUNCT	s124
3329	the	Eng	O	DET	DET	s124
3330	ones	Eng	O	NOUN	NOUN	s124
3331	that	Eng	O	ADP	ADP	s124
3332	curl	Eng	O	VERB	VERB	s124
3333	up	Eng	O	ADP	ADP	s124
3334	y	Spn	O	CONJ	CCONJ	s124
3335	se	Spn	O	PRON	PRON	s124
3336	ponen	Spn	O	VERB	VERB	s124
3337	all	Eng	O	ADV	ADV	s124
3338	shy	Eng	O	ADJ	ADJ	s124
3339	cuando	Spn	O	ADV	ADV	s124
3340	les	Spn	O	PRON	PRON	s124
3341	tocas	Spn	O	VERB	VERB	s124
3342	las	Spn	O	DET	DET	s124
3343	hojas	Spn	O	NOUN	NOUN	s124
3344	con	Spn	O	ADP	ADP	s124
3345	la	Spn	O	DET	DET	s124
3346	yema	Spn	O	NOUN	NOUN	s124
3347	del	Spn	O	ADP	ADP	s124
3348	dedo	Spn	O	NOUN	NOUN	s124
3349	o	Spn	O	CONJ	CCONJ	s124
3350	con	Spn	O	ADP	ADP	s124
3351	un	Spn	O	DET	DET	s124
3352	lápiz	Spn	O	NOUN	NOUN	s124
3353	,	Spn	O	.	PUNCT	s124
3354	well	Eng	O	PRT	PART	s124
3355	,	Eng	O	.	PUNCT	s124
3356	like	Eng	O	ADP	ADP	s124
3357	that	Eng	O	PRON	PRON	s124
3358	,	Eng	O	.	PUNCT	s124
3359	pero	Spn	O	CONJ	CCONJ	s124
3360	en	Spn	O	ADP	ADP	s124
3361	gigante	Spn	O	ADJ	ADJ	s124
3362	—	Spn	O	.	PUNCT	s124
3363	e	Spn	O	CONJ	CCONJ	s124
3364	sus	Spn	O	DET	DET	s124
3365	weird	Eng	O	ADJ	ADJ	s124
3366	,	Eng	O	.	PUNCT	s124
3367	flat	Eng	O	ADJ	ADJ	s124
3368	,	Eng	O	.	PUNCT	s124
3369	walnut-colored	Eng	O	ADJ	ADJ	s124
3370	pods	Eng	O	NOUN	NOUN	s124
3371	.	Eng	O	.	PUNCT	s124
3372	Not	Eng	O/PERS	ADV	ADV	s125
3373	exactly	Eng	O	ADV	ADV	s125
3374	nondescript	Eng	O	ADJ	ADJ	s125
3375	,	Eng	O	.	PUNCT	s125
3376	pero	Spn	O	CONJ	CCONJ	s125
3377	definitely	Eng	O	ADV	ADV	s125
3378	nothing	Eng	O	ADV	ADV	s125
3379	to	Eng	O	PRT	PART	s125
3380	write	Eng	O	VERB	VERB	s125
3381	home	Eng	O	NOUN	NOUN	s125
3382	about	Eng	O	ADP	ADP	s125
3383	.	Eng	O	.	PUNCT	s125
3384	Pero	Spn	O	CONJ	CCONJ	s126
3385	luego	Spn	O	ADV	ADV	s126
3386	,	Spn	O	.	PUNCT	s126
3387	for	Eng	O	ADP	ADP	s126
3388	the	Eng	O	DET	DET	s126
3389	too-short	Eng	O	ADJ	ADJ	s126
3390	,	Eng	O	.	PUNCT	s126
3391	two	Eng	O	NUM	NUM	s126
3392	months	Eng	O	NOUN	NOUN	s126
3393	.	Eng	O	.	PUNCT	s126
3394	of	Eng	O	ADP	ADP	s126
3395	their	Eng	O	DET	DET	s126
3396	bloom	Eng	O	NOUN	NOUN	s126
3397	,	Eng	O	.	PUNCT	s126
3398	shocking	Eng	O	ADJ	ADJ	s126
3399	surtidores	Spn	O	NOUN	NOUN	s126
3400	de	Spn	O	ADP	ADP	s126
3401	unscented	Eng	O	ADJ	ADJ	s126
3402	pétalos	Spn	O	NOUN	NOUN	s126
3403	—	Spn	O	.	PUNCT	s126
3404	s	Eng	O	X	X	s126
3405	it	Eng	O	PRON	PRON	s126
3406	be	Eng	O	VERB	VERB	s126
3407	demasiado	Spn	O	ADV	ADV	s126
3408	,	Spn	O	.	PUNCT	s126
3409	over	Eng	O	ADP	ADP	s126
3410	the	Eng	O	DET	DET	s126
3411	top	Eng	O	NOUN	NOUN	s126
3412	si	Spn	O	ADV	ADV	s126
3413	encima	Spn	O	ADP	ADP	s126
3414	de	Spn	O	ADP	ADP	s126
3415	todo	Spn	O	NOUN	NOUN	s126
3416	tuvieran	Spn	O	VERB	VERB	s126
3417	perfume	Spn	O	NOUN	NOUN	s126
3418	too	Eng	O	ADV	ADV	s126
3419	?	Eng	O	.	PUNCT	s126
3420	—	Eng	O	.	PUNCT	s126
3421	cascading	Eng	O	VERB	VERB	s126
3422	,	Eng	O	.	PUNCT	s126
3423	drifting	Eng	O	VERB	VERB	s126
3424	,	Eng	O	.	PUNCT	s126
3425	amontonándose	Spn	O	VERB	VERB	s126
3426	,	Spn	O	.	PUNCT	s126
3427	machacados	Spn	O	ADJ	ADJ	s126
3428	bajo	Spn	O	ADP	ADP	s126
3429	pies	Spn	O	NOUN	NOUN	s126
3430	y	Spn	O	CONJ	CCONJ	s126
3431	ruedas	Spn	O	NOUN	NOUN	s126
3432	.	Spn	O	.	PUNCT	s126
3433	Pretoria	Spn	LOCATION/LUG	NOUN	PROPN	s127
3434	se	Spn	O	PRON	PRON	s127
3435	jacta	Spn	O	VERB	VERB	s127
3436	de	Spn	O	ADP	ADP	s127
3437	ser	Spn	O	VERB	VERB	s127
3438	la	Spn	O	DET	DET	s127
3439	Jakarandastad	Spn	LOCATION/ORG	NOUN	PROPN	s127
3440	,	Spn	O	.	PUNCT	s127
3441	QUOTE-SYMBOL	Spn	O	.	PUNCT	s127
3442	ciudad	Spn	O	NOUN	NOUN	s127
3443	de	Spn	O	ADP	ADP	s127
